Date,Total Snow,Daily Delta,Min,Max,Mean
2012-02-20,563.0,5.0,-6.2,1.0,-4.23043478261
2016-07-11,0,0,8.8,15.1,11.4826086957
2016-07-10,0,0,7.7,14.2,10.2217391304
2016-07-13,0,0,8.7,16.8,11.6434782609
2016-07-12,0,0,7.2,15.6,10.8043478261
2016-07-15,0,0,7.3,15.2,9.12608695652
2016-07-14,0,0,7.6,14.0,9.8347826087
2016-07-17,0,0,6.1,20.6,11.3217391304
2016-07-16,0,0,7.6,19.9,11.6086956522
2016-07-19,0,0,8.5,17.9,12.752173913
2016-07-18,0,0,5.2,20.0,11.0347826087
2018-09-23,5.0,-4.0,-0.7,7.9,2.39565217391
2019-07-21,4.0,2.0,7.1,18.5,12.1347826087
2018-05-28,7.0,-6.0,5.4,9.7,7.62608695652
2018-05-29,4.0,-3.0,-1.1,8.4,2.98695652174
2019-07-20,2.0,0.0,1.7,17.5,8.58260869565
2018-03-30,576.0,8.0,-0.4,3.6,1.20869565217
2018-02-02,488.0,3.0,-3.2,3.5,0.682608695652
2018-05-20,223.0,-33.0,5.3,12.9,8.11739130435
2018-05-21,198.0,-25.0,2.2,13.7,7.23913043478
2018-05-22,165.0,-33.0,5.4,18.7,11.0347826087
2018-05-23,124.0,-41.0,3.3,18.4,10.8826086957
2018-05-24,93.0,-31.0,4.7,14.0,9.55652173913
2018-05-25,55.0,-38.0,4.9,11.4,6.97391304348
2018-05-26,29.0,-26.0,-0.3,8.8,4.54782608696
2018-05-27,13.0,-16.0,4.4,12.0,7.06956521739
2012-06-29,0,0,6.6,13.9,8.83913043478
2012-06-28,0,0,5.8,12.4,8.67391304348
2019-07-25,5.0,0.0,8.0,14.7,10.9869565217
2012-06-23,0,0,7.6,16.4,10.5913043478
2012-06-22,0,0,6.7,20.5,12.7956521739
2012-06-21,0,0,3.4,16.8,10.552173913
2012-06-20,0,0,2.5,16.4,8.62608695652
2012-06-27,0,0,5.6,11.3,7.9
2012-06-26,0,0,1.5,14.2,7.84782608696
2012-06-25,0,0,0.8,14.6,7.56956521739
2012-06-24,0,0,5.6,12.3,9.14782608696
2014-10-01,0,0,2.8,6.6,4.69565217391
2014-10-02,0,0,-3.3,9.3,1.59565217391
2014-10-03,0,0,5.7,10.7,7.92608695652
2014-10-04,0,0,8.6,15.8,11.8608695652
2014-10-05,0,0,8.4,16.2,11.2304347826
2014-10-06,0,0,10.2,16.5,12.952173913
2014-10-07,0,0,4.3,13.5,8.91739130435
2014-10-08,0,0,5.2,15.9,9.16956521739
2014-10-09,0,0,7.6,12.9,10.2695652174
2018-02-04,501.0,13.0,-10.3,3.7,-3.27391304348
2014-07-05,0.0,0.0,7.2,10.6,8.60434782609
2015-08-13,0,0,10.0,21.8,15.5
2015-08-12,0,0,5.8,24.2,13.4695652174
2015-08-11,0,0,6.4,21.0,12.3
2015-08-10,0,0,4.3,20.0,10.7043478261
2015-08-17,0,0,3.9,22.0,11.6173913043
2015-08-16,0,0,3.8,18.1,9.1347826087
2015-08-15,0,0,8.4,18.5,10.5434782609
2015-08-14,0,0,6.3,23.3,13.647826087
2015-08-19,0,0,8.2,22.9,15.0043478261
2015-08-18,0,0,6.6,25.2,13.1434782609
2013-09-18,0,0,2.5,13.0,6.50869565217
2013-09-19,0.0,0.0,6.4,14.6,8.58260869565
2013-09-12,1.0,1.0,9.5,25.9,16.552173913
2014-12-28,210.0,-4.0,-7.6,-4.7,-6.06956521739
2013-09-10,0,0,4.4,25.8,11.6434782609
2013-09-11,0.0,0.0,6.6,29.2,14.3913043478
2013-09-16,1.0,-1.0,7.7,11.9,10.0565217391
2013-09-17,0,-1.0,0.8,12.6,5.9
2013-09-14,1.0,0.0,6.8,27.4,14.4130434783
2013-09-15,2.0,1.0,9.9,25.6,15.9130434783
2014-09-08,0,0,4.2,16.1,9.59565217391
2014-09-09,0,0,1.0,13.3,5.81304347826
2014-09-06,0,0,4.5,24.3,11.547826087
2014-09-07,0,0,7.9,20.8,13.5565217391
2014-09-04,0,0,0.8,19.8,7.73043478261
2014-09-05,0,0,2.4,23.4,9.3
2014-09-02,0,0,5.7,12.2,8.2652173913
2014-09-03,0,0,2.1,16.2,6.87826086957
2014-09-01,0,0,7.5,10.6,8.74347826087
2013-12-30,102.0,3.0,-0.2,3.2,1.51739130435
2013-12-31,100.0,-2.0,-1.3,2.5,0.360869565217
2015-12-13,228.0,9.0,-6.1,-2.8,-4.65217391304
2015-10-20,0,0,-0.5,10.5,3.4652173913
2019-08-01,5.0,2.0,7.5,13.5,9.28695652174
2019-08-02,3.0,-2.0,5.7,10.0,7.55217391304
2019-08-03,2.0,-1.0,1.9,16.6,7.71304347826
2019-08-04,2.0,0.0,4.2,20.9,10.7434782609
2014-12-22,193.0,-1.0,-2.7,0.0,-1.77391304348
2015-07-18,0,0,9.4,25.2,16.3086956522
2015-07-19,0,0,8.8,25.9,17.2434782609
2015-07-16,0,0,1.0,17.4,7.83043478261
2015-07-17,0,0,3.7,20.1,10.6173913043
2015-07-14,0,0,3.1,17.4,9.93913043478
2015-07-15,0,0,9.8,14.6,11.6869565217
2015-07-12,0,0,8.4,17.7,11.4869565217
2015-07-13,0,0,7.4,15.9,11.4130434783
2015-07-10,0,0,10.7,24.5,17.7260869565
2015-07-11,0,0,11.5,20.7,14.5043478261
2016-03-08,517.0,0.0,-3.6,2.9,-1.60434782609
2016-03-09,522.0,5.0,-3.8,5.7,-1.11739130435
2016-03-06,529.0,8.0,-3.1,2.1,-0.595652173913
2016-03-07,517.0,-12.0,-2.7,6.1,-0.169565217391
2016-03-04,500.0,19.0,-0.5,1.5,0.0521739130435
2016-03-05,521.0,21.0,-0.9,2.6,0.626086956522
2016-03-02,476.0,-2.0,-4.1,4.3,-0.247826086957
2016-03-03,481.0,5.0,-1.1,3.1,0.373913043478
2016-03-01,478.0,20.0,-4.7,-2.0,-3.34347826087
2015-03-23,300.0,4.0,-2.8,5.3,0.369565217391
2015-03-22,296.0,4.0,-4.5,5.3,-0.734782608696
2015-03-21,292.0,7.0,-0.9,6.0,1.02173913043
2015-03-20,285.0,17.0,0.2,4.7,2.2652173913
2015-03-27,286.0,-14.0,3.7,7.3,6.27826086957
2015-03-26,300.0,7.0,2.7,9.2,5.25652173913
2015-03-25,293.0,-3.0,-0.5,7.0,1.67826086957
2015-03-24,296.0,-4.0,-5.0,7.0,-0.934782608696
2015-03-29,278.0,15.0,0.3,4.7,1.30434782609
2015-03-28,263.0,-23.0,0.0,5.2,1.95652173913
2019-04-12,457.0,0.0,-5.9,4.7,-1.10434782609
2015-04-19,289.0,8.0,-2.3,15.1,3.98260869565
2015-04-18,281.0,-1.0,-4.9,11.8,1.12608695652
2015-04-17,282.0,-3.0,1.8,8.6,4.50434782609
2015-04-16,285.0,10.0,1.7,10.3,4.33913043478
2015-04-15,275.0,-3.0,-2.7,4.5,-0.530434782609
2015-04-14,278.0,-15.0,-6.4,2.9,-2.23043478261
2015-04-13,293.0,26.0,-2.4,0.2,-1.36956521739
2015-04-12,267.0,-2.0,-4.8,1.6,-2.62173913043
2015-04-11,269.0,0.0,-4.7,0.3,-2.49565217391
2015-04-10,269.0,7.0,-0.1,3.9,1.98260869565
2014-12-23,202.0,9.0,-3.5,0.5,-1.48260869565
2019-03-27,428.0,-10.0,-5.2,0.9,-2.3347826087
2019-03-26,438.0,11.0,-1.1,2.8,0.0695652173913
2019-03-25,427.0,6.0,-7.1,3.9,-2.53043478261
2019-03-24,421.0,-3.0,-5.3,4.0,-1.13913043478
2019-03-23,424.0,-12.0,-2.6,4.5,1.40434782609
2019-03-22,436.0,6.0,-1.7,10.1,2.91739130435
2019-03-21,430.0,1.0,-2.0,10.6,2.61304347826
2019-03-20,429.0,1.0,-3.3,12.4,2.12173913043
2019-03-29,426.0,-2.0,-5.8,6.7,-0.413043478261
2019-03-28,428.0,0.0,-7.4,4.7,-1.20434782609
2014-05-28,0,0,1.9,11.1,3.8347826087
2014-05-29,0.0,0.0,1.0,10.6,5.5347826087
2014-05-24,5.0,-5.0,2.6,11.4,5.86956521739
2014-05-25,3.0,-2.0,2.9,9.3,5.6652173913
2014-05-26,1.0,-2.0,2.7,9.9,5.29130434783
2014-05-27,0,-1.0,-0.9,9.8,3.95217391304
2014-05-20,100.0,-29.0,4.9,12.2,7.82608695652
2014-05-21,62.0,-38.0,6.0,9.9,7.78695652174
2014-05-22,28.0,-34.0,5.6,9.5,6.95217391304
2014-05-23,10.0,-18.0,4.1,9.0,6.81739130435
2013-02-28,332.0,5.0,-6.2,1.2,-3.12173913043
2014-06-09,0,-1.0,1.5,13.1,7.15217391304
2014-06-08,1.0,1.0,8.0,13.5,10.0043478261
2012-08-18,0,0,9.7,26.9,17.1217391304
2012-08-19,0,0,9.7,25.1,16.8565217391
2014-06-03,0,0,2.6,17.8,10.6608695652
2014-06-02,0,0,3.0,20.1,10.4739130435
2014-06-01,0,0.0,1.8,16.7,8.89565217391
2012-08-17,0,0,7.1,25.8,15.0652173913
2014-06-07,0.0,0.0,3.8,15.9,9.51304347826
2014-06-06,0,0,-0.2,14.0,6.71739130435
2014-06-05,0,-2.0,-2.2,13.8,5.16086956522
2014-06-04,2.0,2.0,6.9,13.3,10.1739130435
2016-08-07,0,0,6.8,15.9,10.2826086957
2013-10-10,0,0,-2.7,7.4,3.01304347826
