"date","danger_rating","swe_squam","daily_tot_precip_squam","two_day_tot_precip_squam","three_day_tot_precip_squam","swe_nos","daily_tot_precip_nos","two_day_tot_precip_nos","three_day_tot_precip_nos","daily_max_temp_squam","daily_min_temp_squam","daily_mean_temp_squam","two_day_max_temp_squam","two_day_min_temp_squam","two_day_mean_temp_squam","three_day_max_temp_squam","three_day_min_temp_squam","three_day_mean_temp_squam","daily_max_temp_nos","daily_min_temp_nos","daily_mean_temp_nos","two_day_max_temp_nos","two_day_min_temp_nos","two_day_mean_temp_nos","three_day_max_temp_nos","three_day_min_temp_nos","three_day_mean_temp_nos","wind_daily_avg","wind_daily_max","wind_avg_dir","two_day_mean_wind","two_day_max_wind","three_day_mean_wind","three_day_max_wind","two_day_wind_avg_dir","three_day_wind_avg_dir"
2018-02-07,2,0.90152822314414,0.109526459020501,-0.345725338061774,-0.45265849640037,0.949897965668774,0.629766951682037,-0.0778715777415166,-0.487415447393753,-0.2,-1.8,-1.15,1.3,-3.4,-1.29583333333333,1.3,-3.4,-0.837500000000001,4,1,2.46666666666667,4.2,-8,-0.770833333333334,4.2,-8,-1.44166666666667,0.277108433735,0.41628959276,0.403356481481,0.14865915274,0.41628959276,0.127512984489266,0.41628959276,0.402083333332999,0.59154040404
2018-02-08,3,0.90152822314414,0.372233103540072,0.292584600578348,-0.0910271674333787,0.949897965668774,-0.201316388484993,0.27595813549723,-0.151821422054014,2.9,-0.2,0.816666666666667,2.9,-1.8,-0.166666666666665,2.9,-3.4,-0.591666666666668,2.3,-6.3,0.125000000000004,4,-6.3,1.29583333333333,4.2,-8,-0.472222222222223,0.326467158958,0.460030165913,0.555324074074,0.3017877963465,0.460030165913,0.207928488146,0.460030165913,0.479340277777499,0.555324074074
2018-02-09,3,0.925110560382461,0.175203120150394,0.332478971743356,0.300740105614195,0.927903673475469,-1.03239972865202,-0.785531004219011,-0.28605903218991,1.8,-7.4,-2.85,2.9,-7.4,-1.01666666666667,2.9,-7.4,-1.06111111111111,-7.1,-13.6,-10.9875,2.3,-13.6,-5.43125,4,-13.6,-2.79861111111111,0.0637388262728,0.253393665158,0.464351851852,0.1951029926154,0.460030165913,0.222438139655266,0.460030165913,0.509837962962999,0.555324074074
2018-02-10,2,0.921180170842741,-0.415886830018639,-0.146253482236736,0.0596525529695341,0.944399392620448,-0.201316388484993,-0.785531004219011,-0.688771862597596,5.5,-10.5,-5.45,5.5,-10.5,-4.15,5.5,-10.5,-2.49444444444445,2.3,-17,-11.4291666666667,2.3,-17,-11.2083333333333,2.3,-17,-7.43055555555556,0.144189661873,0.217194570136,0.36087962963,0.1039642440729,0.253393665158,0.178131882367933,0.460030165913,0.412615740740999,0.555324074074
2018-02-11,2,0.917249781303021,-0.350210168888746,-0.465408451556796,-0.271842831916874,0.938900819572121,-0.47834416854067,-0.431701290980264,-0.823009472733492,4.3,-10.2,-5.74166666666667,5.5,-10.5,-5.59583333333333,5.5,-10.5,-4.68055555555556,-3.3,-16.1,-8.61666666666666,2.3,-17,-10.0229166666667,2.3,-17,-10.3444444444444,0.314030314808,0.573152337858,0.218981481481,0.2291099883405,0.573152337858,0.173986267651266,0.573152337858,0.289930555555499,0.464351851852
2018-02-12,2,0.911354196993441,-0.218856846628961,-0.345725338061774,-0.45265849640037,0.933402246523795,-0.201316388484993,-0.431701290980264,-0.420296642325805,4.3,-11,-2.99583333333333,5.5,-11,-4.22083333333333,5.5,-11,-4.71527777777778,4.3,-20.1,-11.5166666666667,4.3,-20.1,-10.0666666666667,4.3,-20.1,-10.5208333333333,0.112708900117,0.310708898944,0.354282407407,0.2133696074625,0.573152337858,0.190309625599333,0.573152337858,0.286631944443999,0.36087962963
2018-02-13,2,0.913319391763301,-0.481563491148531,-0.425514080391789,-0.482794440480952,1.02687798834534,1.59936418187691,0.895160133665038,0.452247823557516,-3,-8.4,-5.98333333333333,4.3,-11,-4.48958333333333,5.5,-11,-4.80833333333333,2,-2.1,-0.420833333333329,4.3,-20.1,-5.96875,4.3,-20.1,-6.85138888888889,0.168674698795,0.265460030166,0.410763888889,0.140691799456,0.310708898944,0.198471304573333,0.573152337858,0.382523148147999,0.410763888889
2018-02-14,3,0.944762508081061,0.306556442410179,-0.106359111071728,-0.181434999675126,0.993886550055384,-0.616858058568508,0.629787848735978,0.385129018489568,3.3,-7.4,-4.27916666666667,3.3,-8.4,-5.13125,4.3,-11,-4.41944444444445,0.9,-7.6,-4.03333333333333,2,-7.6,-2.22708333333333,4.3,-20.1,-5.32361111111111,0.132530120482,0.16742081448,0.336805555556,0.1506024096385,0.265460030166,0.137971239798,0.310708898944,0.373784722222499,0.410763888889
2018-02-15,2,0.938866923771481,-0.678593474538209,-0.226042224566751,-0.392386608239204,0.927903673475469,-0.893885838624185,-0.962445860838384,0.0495349931498292,3.3,-8.9,-3.71666666666667,3.3,-8.9,-4.79791666666666,4,-8.9,-4.64722222222222,-2.3,-14.1,-7.37083333333333,0.9,-14.1,-5.70208333333333,2,-14.1,-3.94166666666667,0.172763987225,0.20060331825,0.398550724638,0.1526470538535,0.20060331825,0.157989602167333,0.265460030166,0.367678140096999,0.410763888889
2018-02-16,2,0.954588481930361,-0.218856846628961,-0.545197193886811,-0.271842831916874,0.938900819572121,0.768280841709876,-0.0778715777415166,-0.353177837257858,1.8,-7,-4.79583333333333,3.3,-8.9,-4.25625,3.3,-8.9,-4.79722222222222,-0.9,-6.3,-4.025,-0.9,-14.1,-5.69791666666667,0.9,-14.1,-5.14305555555556,0.106659456902,0.279034690799,0.560748792271,0.1397117220635,0.279034690799,0.137317854869666,0.279034690799,0.479649758454499,0.560748792271
